pair_id,query_id,query_text,article_id,article_title,article_text,kuhperdata_book,llm_verdict,llm_reasoning,expert_verdict,expert_notes
28,q999,"Saya punya tiga anak kecil yang belum dewasa, suami saya sudah meninggal, dan sekarang saya butuh izin untuk menjaminkan tanah milik kita bersama demi biaya hidup dan pendidikan mereka, apakah ini boleh dilakukan tanpa melanggar aturan?",126,Pasal 126,"Pasal 126: Harta bersama bubar demi hukum: 1. karena kematian; 2. karena perkawinan atas izin hakim setelah suami atau isteri tidak ada; 3. karena perceraian; 4. karena pisah meja dan ranjang; 5. karena pemisahan harta. Akibat-akibat khusus dan pembubaran dalam hal-hal tersebut pada nomor 2°, 3°, 4°, dan 5°pasal ini, diatur dalam bab-bab yang membicarakan soal ini.",Buku I (Orang),RELEVAN,"unsur: pembubaran harta bersama karena kematian | fakta: suami meninggal, sehingga harta bersama bubar demi hukum. Ini adalah fakta hukum dasar yang mengubah status tanah dari ""harta bersama"" menjadi ""harta peninggalan/perwalian"" | RELEVAN",,
29,q1881,"Gue bingung, kalau ada orang yang punya utang sama suami gue, apakah dia bisa ikut campur kalau gue mau minta pisah harta sama suami gue?",1420,Pasal 1420,"Pasal 1420: Jika debitur hanya menunjuk seseorang yang harus membayar untuk dia, maka tidak terjadi suatu pembaruan utang. Hal yang sama berlaku jika kreditur hanya menunjuk seseorang yang diwajibkan menerima pembayaran utang untuknya.",Buku III (Perikatan),TIDAK_RELEVAN,"unsur: debitur menunjuk pembayar, kreditur menunjuk penerima, pembaruan utang | fakta: kasus tidak melibatkan pembaruan utang atau penunjukan pihak ketiga untuk bayar/terima | TIDAK_RELEVAN",,
30,q406,"Saya punya anak laki-laki yang baru 13 tahun dan belum bisa tanda tangan sendiri, tapi saya butuh izin untuk menjual tanah warisan kami demi biaya sekolahnya, bagaimana cara mengurusnya agar tidak dianggap melanggar aturan?",1448,Pasal 1448,"Pasal 1448: Jika tata cara yang ditentukan untuk sahnya perbuatan yang menguntungkan anak-anak yang belum dewasa dan orang-orang yang berada di bawah pengampuan telah terpenuhi, atau jika orang yang menjalankan kekuasaan orangtua, wali atau pengampu telah melakukan perbuatanperbuatan yang tidak melampaui batas-batas kekuasaannya, maka anak-anak yang belum dewasa dan orang-orang yang berada di bawah pengampuan itu dianggap telah melakukan sendiri perbuatan-perbuatan itu setelah mereka menjadi dewasa atau tidak lagi berada di bawah pengampuan, tanpa mengurangi hak mereka untuk menuntut orang yang melakukan kekuasaan orangtua, wali atau pengampu itu bila ada alasan untuk itu.",Buku III (Perikatan),RELEVAN,"unsur: tata cara sah perbuatan menguntungkan anak belum dewasa, wali/pengampu, pengesahan perbuatan setelah dewasa | fakta: pasal ini mengatur validitas perbuatan hukum yang dilakukan oleh wali atas nama anak. Kasus menanyakan cara mengurus izin agar tidak melanggar aturan (yaitu memenuhi tata cara sah). Unsur ""perbuatan yang menguntungkan anak"" (biaya sekolah) dan ""tata cara yang ditentukan"" (izin) sangat relevan dengan pertanyaan ""bagaimana cara mengurusnya"". Pasal ini menjadi dasar hukum bahwa perbuatan wali sah jika memenuhi tata cara. | RELEVAN",,
31,q44,"Saya beli tanah dari ayah saya tahun 2009 dan sudah bangun rumah, tapi keluarga mereka malah larang saya pakai sisa tanahnya dan bilang itu pekarangan bersama, apa saya harus terima begitu saja?",550,Pasal 550,"Pasal 550: Tuntutan untuk mempertahankan besit boleh diajukan di muka Hakim, bila seseorang terganggu dalam memegang besitnya atas sebidang tanah atau pekarangan, sebuah rumah atau gedung, suatu hak kebendaan atau barang bergerak pada umumnya.",Buku II (Benda),RELEVAN,"unsur: tuntutan mempertahankan besit, gangguan pemilikan tanah/rumah/hak kebendaan | fakta: pemohon merasa haknya atas tanah (sisa tanah) diganggu oleh keluarga yang melarang penggunaan. Ini adalah inti sengketa: gangguan terhadap pemilikan/besit tanah. Unsur ""gangguan dalam memegang besit"" terpenuhi oleh fakta larang pakai. | RELEVAN",,
32,q1314,"Saya bingung, kalau rumah kita sudah dibebani jaminan utang ke bank, apakah masih bisa dibagi rata sama mantan suami saya setelah cerai?",163,Pasal 163,"Pasal 163: Semua utang kedua suami isteri itu bersama-sama, yang dibuat selama perkawinan, harus dihitung sebagai kerugian bersama. Apa yang dirampas akibat kejahatan salah seorang dan suami isteri itu, tidak termasuk kerugian bersama itu.",Buku I (Orang),RELEVAN,"unsur: utang bersama suami-istri selama perkawinan, dihitung sebagai kerugian bersama | fakta: kasus membahas rumah yang dibebani utang. Pasal ini mendefinisikan utang yang dibuat selama perkawinan sebagai kerugian bersama (bagian dari harta bersama). Ini sangat relevan untuk menentukan status utang tersebut dalam pembagian harta gono-gini. | RELEVAN",,
33,q1268,"Saya punya istri yang sekarang dalam kondisi Vegetative State karena sakit otak, jadi dia nggak bisa ngurusin uang tabungannya sendiri buat obat, gimana cara saya bisa legal ambil duit itu buat perawatannya?",786,Pasal 786,"Pasal 786: Selama pemakai hasil tidak memberikan jaminan, pemilik berhak mengurus sendiri barang yang termasuk hak pakai hasil, asal saja dan pihaknya diadakan jaminan. Dalam hal tidak diadakan jaminan ini, barang-barang tidak bergerak harus disewakan, digadaikan atau ditempatkan di bawah pengurusan pihak ketiga; uang yang termasuk dalam hak pakai hasil harus dibungakan, bahan makanan dan bahan lain yang tidak dapat dipakai tanpa dihabiskan harus dijual, dan uang pendapatannya harus juga dibungakan. Bunga uang ini, demikian pula uang sewa dan uang gadai, menjadi milik pemakai hasil.",Buku II (Benda),TIDAK_RELEVAN,"unsur: hak pakai hasil, jaminan, pengelolaan oleh pemilik | fakta: kasus tidak membahas hak pakai hasil | TIDAK_RELEVAN",,
34,q637,"Saya punya suami yang sudah didiagnosis Alzheimer sejak 2017 sampai sekarang dia nggak bisa ngurusin aset warisan dari orang tuanya sendiri, gimana cara saya bisa mewakili dia biar hartanya nggak hilang?",258,Pasal 258,"Pasal 258: Bila suami meninggal dia menerapkan haknya dalam hal ini, padahal waktunya untuk itu masih berjalan, maka para ahli warisnya tidak dapat mengingkari keabsahan anak itu selain dalam hal tersebut Pasal 252. Gugatan untuk membantah keabsahan anak itu harus dimulai dalam waktu dua bulan terhitung sejak anak itu memiliki harta benda suami, atau sejak para ahli warisnya terganggu dalam memilikinya oleh anak.",Buku I (Orang),TIDAK_RELEVAN,"unsur: gugatan bantah keabsahan anak, waktu 2 bulan, anak memiliki harta suami | fakta: tidak ada sengketa keabsahan anak | TIDAK_RELEVAN",,
35,q610,"Saya habis kehilangan rumah dan tanah karena dihibahkan ke anak saya saat saya masih punya istri, sekarang saya sudah cerai dan hidup susah tanpa nafkah dari mereka, apakah saya bisa membatalkan pemberian itu?",321,Pasal 321,"Pasal 321: Setiap anak wajib memberi nafkah orang tua dan keluarga sedarahnya dalam garis ke atas, bila mereka ini dalam keadaan miskin.",Buku I (Orang),RELEVAN,"unsur: kewajiban anak memberi nafkah orang tua, syarat orang tua dalam keadaan miskin | fakta: pemohon menyatakan hidup susah (miskin) dan ingin membatalkan hibah karena tidak dapat nafkah; unsur kewajiban nafkah dan kemiskinan orang tua terpenuhi/dibahas sebagai dasar keluhan | RELEVAN",,
36,q149,Kenapa saya malah harus bayar biaya cuma karena nggak bisa hadir di mediasi padahal saya sudah dipanggil berkali-kali lewat email?,731,Pasal 731,"Pasal 731: Dengan berakhirnya hak guna usaha, pemilik tanah mempunyai tuntutan perseorangan terhadap pemegang hak usaha untuk mengganti biaya, kerugian dan bunga yang disebabkan pemegang hak guna usaha lalai dan kurang memelihara pekarangan dan untuk hak-hak yang akibat kesalahan pemegang hak guna usaha telah gugur karena lewat waktu.",Buku II (Benda),TIDAK_RELEVAN,"unsur: hak guna usaha, berakhir, ganti biaya/kerugian/bunga, lalai memelihara | fakta: kasus tidak melibatkan hak guna usaha | TIDAK_RELEVAN",,
37,q208,"Saya bingung, kenapa bank bisa langsung menjual tanah saya lewat lelang padahal saya belum pernah diadili dulu karena tidak bayar cicilan?",1957,Pasal 1957,"Pasal 1957: Seseorang yang sekarang menguasai suatu barang, yang membuktikan bahwa ia menguasai sejak dulu, dianggap juga telah menguasainya selama selang waktu antara dulu dan sekarang, tanpa mengurangi pembuktian hal yang sebaliknya.",Buku IV (Pembuktian),TIDAK_RELEVAN,"unsur: penguasaan barang, bukti penguasaan sejak dulu, kontinuitas | fakta: kasus tidak membahas pembuktian penguasaan historis | TIDAK_RELEVAN",,
38,q1301,"Suami saya meninggal, sekarang saya ingin mengurus sertifikat tanah bersama anak saya yang masih kecil, tapi dia belum bisa bertindak sendiri, bagaimana cara saya mewakili dia agar perubahannya sah?",848,Pasal 848,"Pasal 848: Anak tidak memperoleh hak dan orangtuanya untuk mewakili mereka, tetapi seseorang dapat mewakili orang yang tak mau menerima harta peninggalannya.",Buku II (Benda),TIDAK_RELEVAN,"unsur: larangan anak mewakili orang tua dalam warisan, perwakilan bagi yang menolak warisan | fakta: kasus tentang ibu mewakili anak, bukan anak mewakili orang tua | TIDAK_RELEVAN",,
39,q1542,"Saya punya hutang ke teman yang tidak saya bayar sesuai janji, sekarang dia mau menjual tanah jaminan saya, apakah ini adil?",58,Pasal 58,"Pasal 58: Janji kawin tidak menimbulkan hak untuk menuntut di muka Hakim berlangsungnya perkawinan, juga tidak menimbulkan hak untuk menuntut penggantian biaya, kerugian dan bunga, akibat tidak dipenuhinya janji itu, semua persetujuan untuk ganti rugi dalam hal ini adalah batal. Akan tetapi, jika pemberitahuan kawin ini telah diikuti oleh suatu pengumuman,, maka ha! itu dapat menjadi dasar untuk menuntut penggantian biaya, kerugian dan bunga berdasarkan kerugian-kerugian yang nyata diderita oleh satu pihak atas barang-barangnya sebagai akibat dan penolakan pihak yang lain; dalam pada itu tak boleh diperhitungkan soal kehilangan keuntungan. Tuntutan ini lewat waktu dengan lampaunya waktu delapan belas bulan, terhitung dari pengumuman perkawinan itu.",Buku I (Orang),TIDAK_RELEVAN,"unsur: janji kawin, pengumuman kawin, ganti rugi penolakan | fakta: kasus tentang utang, bukan janji kawin | TIDAK_RELEVAN",,
40,q40,"Saya punya tanah yang dibeli dari orang tua, tapi ada yayasan yang bangun panti asuhan di sana tanpa izin dan menolak pindah, apa yang harus saya lakukan?",332a,Pasal 332a,"Pasal 332a: Baik orang yang diangkat menjadi wali oleh salah seorang dari kedua orang tua, maupun wanita bersuami yang diangkat oleh salah seorang dari kedua orang tua, maupun wanita bersuami yang diangkat menjadi wali, tidaklah wajib menerimanya. Pengangkatan itu tidak mengakibatkan suatu apa pun bila mereka tidak menyatakan sanggup menerima. Pernyataan ini harus dilakukan di kepaniteraan Pengadilan Negeri tempat tinggal anak yang belum dewasa dalam waktu enam puluh hari, setelah pengangkatan itu diberitahukan kepada mereka. Bila yang diangkat bertempat tinggal sejauh lebih dan lima belas pal dari kepaniteraan Pengadilan Negeri itu, pernyataan tersebut boleh diajukan secara tertulis di atas kertas tanpa materai. Pemberitahuan ini bila menyangkut wanita bersuami, harus dilakukan baik kepadanya maupun kepada suaminya. Pemberitahuan tidak diwajibkan bila di kepaniteraan Pengadilan Negeri telah dilakukan atau diajukan pernyataan, bahwa pengangkatan itu ditolak. Ketentuanketentuan tersebut di atas berlaku terhadap perkumpulan, yayasan dan lembaga sosial tersebut dalam Pasal 365, kecuali jika perwalian itu diperintahkan atas permintaan atau kesanggupan mereka sendiri.",Buku I (Orang),TIDAK_RELEVAN,"unsur: pengangkatan wali, pernyataan penerimaan penolakan, perwalian oleh yayasan/perkumpulan | fakta: kasus sengketa tanah, tidak ada unsur pengangkatan wali atau perwalian | TIDAK_RELEVAN",,
41,q1248,"Saya sudah bayar lunas beli apartemen tapi kunci belum dikasih, apa yang harus saya lakukan?",1517,Pasal 1517,"Pasal 1517: Jika pembeli tidak membayar harga pembelian, maka penjual dapat menuntut pembatalan jual beli itu menurut ketentuan-ketentuan Pasal 1266 dan 1267.",Buku III (Perikatan),TIDAK_RELEVAN,"unsur: pembeli tidak membayar, penjual menuntut pembatalan jual beli | fakta: fakta kasus menyatakan pembeli *sudah bayar lunas*, sehingga unsur ""tidak membayar"" tidak terpenuhi | TIDAK_RELEVAN",,
42,q1640,"Saya punya tanah warisan dari ayah yang sekarang malah dipegang satu pihak, tapi saya dan keluarga lain tidak pernah dapat bagian, apa yang harus saya lakukan?",762,Pasal 762,"Pasal 762: Hasil alam dan hasil kerajinan yang pada permulaan berlakunya hak pakai hasil masih melekat pada pohon atau akar, termasuk milik pemakai hasil. Hasil tersebut di atas yang masih dalam keadaan seperti di atas pada waktu hak pakai basil berakhir, adalah hak pemilik tanah, sedangkan pihak yang satu atau pihak yang lain yang tidak diwajibkan membayar ongkos pengolahan dan pembenihan tanah, tetapi tidak boleh mengurangi bagian dan hasil yang merupakan hak pihak ketiga yang ikut serta sebagai pengusaha, baik pada permulaan, maupun pada akhir hak pakai hasil itu.",Buku II (Benda),TIDAK_RELEVAN,"unsur: hak pakai hasil, hasil alam/kerajinan, berakhirnya hak pakai hasil | fakta: kasus tidak melibatkan hubungan hukum hak pakai hasil (vruchtgebruik) | TIDAK_RELEVAN",,
43,q1916,"Gue udah 23 tahun dan merasa udah dewasa, tapi mau ganti nama belakang jadi nama ayah tiri. Apakah gue butuh izin orang tua lagi buat urusan ini?",359,Pasal 359,"Pasal 359: Bila anak belum dewasa yang tidak berada di bawah kekuasaan orang tua dan yang perwaliannya sebelumnya tidak diatur dengan cara yang sah, Pengadilan Negeri harus mengangkat seorang wali, setelah mendengar atau memanggil dengan sah para keluarga sedarah dan semenda. Bila pengangkatan itu diperlukan karena ketidakmampuan untuk sementara waktu melakukan kekuasaan orang tua atau perwalian, maka oleh Pengadilan Negeri diangkat juga seorang wali untuk waktu selama ketidakmampuan itu ada. Wali ini diberhentikan lagi oleh Pengadilan Negeri atas permohonan orang yang digantinya bila alasan-alasan yang menyebabkan ia diangkat. Bila pengangkatan itu diperlukan karena bapak atau ibu tidak diketahui ada tidaknya, tempat tinggal atau tempat kediaman mereka, maka oleh Pengadilan Negeri diangkat juga seorang wali. Atas permohonan orang yang digantinya, wali ini diberhentikan oleh Pengadilan Negeri, bila alasan yang menyebabkan pengangkatan tidak ada lagi. Atas permohonan ini Pengadilan Negeri mengambil ketetapan setelah mendengar atau memanggil dengan sah pemohon, wali, wali pengawas, para keluarga sedarah atau semenda anak belum dewasa, dan dewan perwalian bila permohonan ini menyangkut perwalian anak di luar kawin, maka Pengadilan Negeri mengambil ketetapan setelah mendengar atau memanggil secara sah, sebagaimana diatur dalam Pasal 354a. Permohonan dikabulkan kecuali jika ada kekhawatiran yang berdasar kalau-kalau bapak atau ibu menelantarkan anak. Terhadap pemeriksaan orang-orang ini, ketentuan dalam alinea keempat Pasal 206 berlaku dengan sekedar penyesuaian. Selama perwalian termaksud dalam alinea kedua dan ketiga berjalan, penunaian kekuasaan orang tua ditangguhkan. Dalam hal diperlukan pengangkatan seorang wali, maka bila perlu oleh Balai Harta Peninggalan, baik sebelum maupun setelah pengangkatan itu, diadakan tindakan-tindakan seperlunya guna mengurus diri dan harta kekayaan anak belum dewasa, sampai perwalian itu mulai berlaku.",Buku I (Orang),TIDAK_RELEVAN,"unsur: anak belum dewasa, tidak ada kekuasaan orang tua/perwalian sah, pengangkatan wali oleh Pengadilan | fakta: pemohon sudah dewasa, tidak ada pembahasan pengangkatan wali | TIDAK_RELEVAN",,
44,q1874,"Gimana ya kalau nama ayah di ijazah anak saya salah tulis, apakah surat itu masih bisa dipercaya sebagai bukti yang sah?",10,Pasal 10,"Pasal 10: Diperolehnya suatu nama sesuai dengan ketentuan-ketentuan dalam keempat pasal yang lalu, sekali-kali tidak boleh diajukan sebagal bukti adanya hubungan sanak saudara.",Buku I (Orang),RELEVAN,"unsur: pemakaian nama, larangan sebagai bukti hubungan sanak saudara | fakta: kasus membahas apakah ijazah (yang memuat nama) bisa dipercaya sebagai bukti sah. Pasal ini menyatakan bahwa pemakaian nama saja TIDAK BOLEH diajukan sebagai bukti hubungan sanak saudara. Ini sangat relevan untuk menilai argumen bahwa ""nama di ijazah salah"" apakah mempengaruhi keabsahan bukti hubungan hukum. Ijazah bukan sekadar ""pemakaian nama"" tapi akta resmi, namun pasal ini membatasi kekuatan bukti nama. | RELEVAN",,
45,q390,"Suami saya meninggal saat anak saya masih berusia 14 tahun, dan saya ingin tahu bagaimana cara saya secara sah mewakili dia untuk menyewakan atau menjual tanah warisan demi kebutuhan hidupnya?",127,Pasal 127,"Pasal 127: Setelah salah seorang dan suami isteri meninggal, maka bila ada meninggalkan anak yang masih di bawah umur, pihak yang hidup terlama wajib untuk mengadakan pendaftaran harta benda yang merupakan harta bersama dalam waktu empat bulan. Pendaftaran harta bersama itu boleh dilakukan di bawah tangan, tetapi harus dihadiri oleh wali pengawas. Bila pendaftaran harta bersama itu tidak diadakan, gabungan harta bersama berlangsung terus untuk keuntungan si anak yang masih di bawah umur dan sekali-kali tidak boleh merugikannya.",Buku I (Orang),RELEVAN,"unsur: pendaftaran harta bersama, istri wajib mendaftar dalam 4 bulan, wali pengawas hadir | fakta: unsur ini sangat relevan. Suami meninggal, ada anak di bawah umur (14 tahun). Istri wajib mendaftar harta bersama. Ini adalah langkah awal sebelum mengelola/menjual warisan. Fakta kasus menyentuh kebutuhan untuk mengelola harta warisan, dan pendaftaran harta bersama adalah prasyarat hukum untuk memisahkan harta warisan dari harta bersama. | RELEVAN",,
46,q846,"Saya punya anak kecil yang belum bisa mengurus diri sendiri, dan saya ingin menjual tanah warisan ibunya untuk biaya sekolahnya, tapi apakah saya perlu izin khusus dari pengadilan dulu?",399,Pasal 399,"Pasal 399: Wali tidak boleh menjual barang: tak bergerak anak belum dewasa selain dengan lelang umum. Dalam hal itu pembelian tidak akan mempunyai kekuatan, sebelum disahkan oleh Pengadilan Negeri menurut syarat-syaratnya dan ketentuan dalam alinea-alinea kedua, ketiga dan keempat pasal 396.",Buku I (Orang),RELEVAN,"unsur: wali menjual barang tak bergerak anak, lelang umum, sahkan Pengadilan Negeri | fakta: kasus menanyakan izin khusus untuk menjual tanah warisan anak; pasal ini mengatur mekanisme penjualan (lelang) yang memerlukan persetujuan pengadilan, sehingga relevan sebagai dasar hukum prosedur penjualan | RELEVAN",,
47,q14,"Saya beli rumah seharga 1,5 miliar di tahun 2019, sudah bayar 1 miliar tapi penjualnya nggak mau bikin akta resmi dan terus-terusan nunda sisa lunasan, sekarang dia malah bilang transaksi belum jadi dan minta saya pindah, padahal saya sudah tinggal di sana sejak Juni, apa yang harus saya lakukan?",1458,Pasal 1458,"Pasal 1458: Jual beli dianggap telah terjadi antara kedua belah pihak, segera setelah orang-orang itu mencapai kesepakatan tentang barang tersebut beserta harganya, meskipun barang itu belum diserahkan dan harganya belum dibayar.",Buku III (Perikatan),RELEVAN,"unsur: jual beli terjadi saat kesepakatan barang dan harga, tanpa penyerahan/pembayaran | fakta: ini adalah pasal kunci. Pembeli dan penjual telah mencapai kesepakatan harga (1,5 miliar) dan barang (rumah). Pasal ini mendukung argumen bahwa jual beli sudah sah terjadi secara konsensual, meskipun akta belum dibuat dan harga belum lunas. Ini sangat relevan untuk membantah klaim penjual bahwa ""transaksi belum jadi"" | RELEVAN",,
48,q1644,"Kenapa nama anak saya cuma ditulis 'M.ATHIF' padahal seharusnya 'MUHAMMAD ATHIF' di dokumen resmi, dan bagaimana cara memperbaikinya tanpa harus ribet?",5a,Pasal 5a,"Pasal 5a: Anak sah, dan juga anak tidak sah namun yang diakui oleh bapaknya, memakai nama keturunan bapaknya; anak-anak tidak sah yang tidak diakui oleh bapaknya, memakai nama keturunan ibunya.",Buku I (Orang),TIDAK_RELEVAN,"unsur: anak sah/tidak sah, pemakaian nama keturunan bapak/ibu | fakta: kasus membahas nama anak ('M.ATHIF' vs 'MUHAMMAD ATHIF'), namun pasal ini mengatur aturan umum pemakaian nama keturunan (bapak/ibu), bukan prosedur perbaikan kesalahan penulisan nama depan di akta/dokumen resmi. Unsur 'prosedur perbaikan nama' tidak tercakup | TIDAK_RELEVAN",,
49,q100,"Saya punya anak usia 13 tahun yang kedua orang tuanya sudah meninggal, siapa yang harus mengurus dia sampai dia dewasa?",427,Pasal 427,"Pasal 427: Pengadilan Negeri tidak mengambil keputusan sebelum mendengar atau memanggil dengan sah kedua orang tuanya. bila anak yang di bawah umur itu ada dalam kekuasaan orang tuanya, atau bila ia ada dalam perwalian, mendengar atau memanggil dengan sah walinya, wali pengawasnya, keluarga sedarah atau semenda, serta kedua orang tuanya atau orang tua yang masih hidup bila yang melakukan perwalian atas orang yang di bawah umur itu bukan orang tuanya. Alinea keempat Pasal 206 berlaku dalam hal mendengar para orang tua, wali dan walipengawas. Sebelum mengambil keputusan, Pengadilan Negeri boleh memerintahkan anak yang di bawah umur itu untuk menghadap sendiri. Sebelum menutup pemeriksaan. Pengadilan Negeri harus menentukan hari pengambilan keputusan. Terhadap keputusan Pengadilan Negeri, tidak dapat dimintakan banding.",Buku I (Orang),TIDAK_RELEVAN,"unsur: prosedur pengadilan untuk pendewasaan, mendengar orang tua/wali | fakta: tidak relevan karena anak belum memenuhi syarat umur untuk pendewasaan | TIDAK_RELEVAN",,
50,q59,"Saya punya tanah yang dijaminkan buat utang, tapi sekarang mereka langsung lelang tanpa saya tahu, padahal harganya jauh di bawah pasar, apa adil sih?",1019,Pasal 1019,"Pasal 1019: Tanpa mengurangi apa yang telah ditentukan mengenai hak pakai hasil, mengenai penunjukan ahli waris dengan wasiat, dan mengenai anak-anak di bawah umur dan orang-orang yang dalam pengampuan, pewaris boleh mengangkat seorang pengelola atau lebih, dengan surat wasiat atau dengan akta Notaris khusus, untuk mengelola barang-barang yang ditinggalkan kepada para ahli waris dan para penerima hibah wasiat selama hidup mereka ini atau selama waktu tertentu, asalkan dengan itu tidak dilanggar penyerahan secara bebas bagian para ahli waris menurut undang-undang. Ketentuan Pasal 1016 berlaku terhadap hal ini.",Buku II (Benda),TIDAK_RELEVAN,"unsur: pengelola harta warisan (executor), surat wasiat/akta notaris, pengelolaan selama hidup ahli waris | fakta: kasus tidak membahas wasiat atau pengelolaan harta warisan | TIDAK_RELEVAN",,
51,q412,"Saya beli tanah dari teman, tapi notaris yang saya bayar malah jual ke orang lain dan tidak kasih sertifikat saya, apa yang harus saya lakukan?",1457,Pasal 1457,"Pasal 1457: Jual beli adalah suatu persetujuan dengan mana pihak yang satu mengikatkan dirinya untuk menyerahkan suatu barang, dan pihak yang lain untuk membayar harga yang dijanjikan.",Buku III (Perikatan),RELEVAN,"unsur: persetujuan jual beli, penyerahan barang, pembayaran harga | fakta: kasus secara eksplisit menyebutkan ""Saya beli tanah"", yang merupakan inti dari definisi jual beli dalam pasal ini, dan sengketa muncul dari kegagalan penyerahan barang (sertifikat/tanah) | RELEVAN",,
52,q1878,"Gue mau nambahin nama belakang anak gue di akta lahir, kira-kira gimana ya caranya biar nama keluarga gue ikut ada di sana?",613,Pasal 613,"Pasal 613: Penyerahan piutang-piutang atas nama dan barang-barang lain yang tidak bertubuh, dilakukan dengan jalan membuat akta otentik atau di bawah tangan yang melimpahkan hak-hak atas barang-barang itu kepada orang lain. Penyerahan ini tidak ada akibatnya bagi yang berutang sebelum penyerahan itu diberitahukan kepadanya atau disetujuinya secara tertulis atau diakuinya. Penyerahan surat-surat utang atas tunjuk dilakukan dengan memberikannya; penyerahan surat utang atas perintah dilakukan dengan memberikannya bersama endosemen surat itu.",Buku II (Benda),TIDAK_RELEVAN,"unsur: penyerahan piutang, akta otentik/di bawah tangan, pemberitahuan debitur | fakta: kasus tidak melibatkan penyerahan piutang | TIDAK_RELEVAN",,
53,q71,Kenapa bank bisa jual aset rumah saya cuma-cuma tanpa kasih tahu dulu soal detail hutang dan bunga yang sebenarnya?,1854,Pasal 1854,Pasal 1854: Setiap perdamaian hanya menyangkut soal yang termaktub di dalamnya; pelepasan segala hak dan tuntutan yang dituliskan di situ harus diartikan sepanjang hak-hak dan tuntutan-tuntutan itu berhubungan dengan perselisihan yang menjadi sebab perdamaian tersebut.,Buku III (Perikatan),TIDAK_RELEVAN,"unsur: perdamaian, pelepasan hak | fakta: tidak ada unsur perdamaian (transactie) dalam kasus | TIDAK_RELEVAN",,
54,q132,"Saya beli tanah secara lisan dulu, tapi penjualnya kabur dan sekarang sertifikat masih atas namanya, apa yang harus saya lakukan?",1601g,Pasal 1601g,"Pasal 1601g: Anak yang belum dewasa mampu membuat perjanjian kerja sebagai buruh, jika ia dikuasakan untuk itu oleh walinya menurut undang-undang, baik dengan lisan maupun dengan tulisan. Surat kuasa lisan hanya berlaku untuk membuat suatu perjanjian kerja tertentu. Jika anak yang belum dewasa belum berusia 18 tahun, maka kuasa itu harus diberikan dihadapan majikan atau orang yang mewakilinya. Kuasa tersebut tidak dapat diberikan dengan bersyarat. Jika kuasa diberikan secara tertulis, maka anak yang belum dewasa itu wajib menyerahkan surat kuasanya kepada majikan, yang harus segera menyampaikan suatu salinan yang ditandatangani kepada anak yang belum dewasa itu dan pada waktu berakhirnya hubungan kerja,. mengembalikan surat kuasa tersebut kepada anak yang belum dewasa tersebut atau orang-orang yang mendapat hak daripadanya. Sekedar tidak secara tegas dikecualikan dengan syarat-syarat tertentu dalam kuasa yang telah diberikan itu, anak yang belum dewasa, tanpa mengurangi ketentuan alinea ketiga Pasal 1603 f. Namun demikian, ia tidak dapat menghadap Pengadilan tanpa dibantu oleh walinya menurut undang-undang, kecuali bagi Pengadilan ternyata bahwa wali tersebut tidak mampu menyatakan kehendaknya.",Buku III (Perikatan),TIDAK_RELEVAN,"unsur: anak belum dewasa, perjanjian kerja, kuasa wali | fakta: kasus tidak melibatkan anak belum dewasa atau perjanjian kerja | TIDAK_RELEVAN",,
55,q1566,"Saya punya hutang ke teman yang tidak dibayar sesuai janji, sekarang dia mau menjual tanah saya sebagai jaminan, apakah ini adil?",1524,Pasal 1524,"Pasal 1524: Barangsiapa membeli dengan perjanjian membeli kembali, memperoleh segala hak penjual sebagai penggantinya ia dapat menggunakan hak lewat waktunya baik terhadap pemilik sejati saja yang mengira punya hak hipotek atau hak lain atas barang yang dijual itu.",Buku III (Perikatan),TIDAK_RELEVAN,"unsur: jual beli dengan perjanjian membeli kembali (faux retour), hak penjual | fakta: kasus tentang hutang dan jaminan, bukan jual beli dengan opsi beli kembali | TIDAK_RELEVAN",,
56,q1717,Kenapa bank bisa langsung ambil tanah saya tanpa kasih tahu dulu atau minta solusi biar saya bisa bayar?,1823,Pasal 1823,"Pasal 1823: Orang dapat mengangkat diri sebagai penanggung tanpa diminta oleh orang yang mengikatkan diri untuk suatu utang, bahkan juga dapat tanpa tahu orang itu. Orang dapat pula menjadi penanggung, bukan hanya untuk debitur utama melainkan juga untuk seorang penanggung debitur utama itu.",Buku III (Perikatan),TIDAK_RELEVAN,"unsur: penanggung utang, tanpa diminta/tahu debitur | fakta: kasus mengenai jaminan hipotek atas tanah, bukan perjanjian penanggungan utang (borgtocht) | TIDAK_RELEVAN",,
57,q981,"Saya sudah menikah sejak 2022 tapi terus bertengkar sampai akhirnya dia kabur dan kita tidak tinggal serumah lagi, apakah pernikahan saya bisa dianggap putus?",242,Pasal 242,"Pasal 242: Dengan pisah meja dan ranjang, perkawinan tidak dibubarkan, tetapi dengan itu suami isteri tidak lagi wajib untuk tinggal bersama.",Buku I (Orang),RELEVAN,"unsur: pisah meja dan ranjang, perkawinan tidak dibubarkan, tidak wajib tinggal bersama | fakta: kasus secara eksplisit menanyakan apakah pernikahan dianggap ""putus"" (bubar) akibat tidak tinggal serumah; pasal ini secara langsung menjawab bahwa pisah ranjang TIDAK membubarkan perkawinan | RELEVAN",,
